2015-08-25 14:26:49,686,L133|queue size:0                                                                    
2015-08-25 14:37:20,115,L133|queue size:0                                                                    
2015-08-25 14:37:20,115,L133|======== idle ========                                                          
2015-08-25 14:37:50,145,L133|queue size:0                                                                    
2015-08-25 14:37:50,146,L133|======== idle ========                                                          
2015-08-25 14:38:20,176,L133|queue size:0                                                                    
2015-08-25 14:38:20,176,L133|======== idle ========                                                          
2015-08-25 14:38:50,205,L133|queue size:0                                                                    
2015-08-25 14:38:50,205,L133|======== idle ========                                                          
2015-08-25 14:39:20,216,L133|queue size:0                                                                    
2015-08-25 14:39:20,216,L133|======== idle ========                                                          
2015-08-25 14:39:50,238,L133|queue size:0                                                                    
2015-08-25 14:39:50,238,L133|======== idle ========                                                          
2015-08-25 14:40:20,243,L133|queue size:0                                                                    
2015-08-25 14:40:20,243,L133|======== idle ========                                                          
2015-08-25 14:40:50,272,L133|queue size:0                                                                    
2015-08-25 14:40:50,272,L133|======== idle ========                                                          
2015-08-25 14:41:20,291,L133|queue size:0                                                                    
2015-08-25 14:41:20,291,L133|======== idle ========                                                          
2015-08-25 14:41:50,304,L133|queue size:0                                                                    
2015-08-25 14:41:50,305,L133|======== idle ========                                                          
2015-08-25 14:42:20,332,L133|queue size:0                                                                    
2015-08-25 14:42:20,333,L133|======== idle ========                                                          
2015-08-25 14:42:50,354,L133|queue size:0                                                                    
2015-08-25 14:42:50,355,L133|======== idle ========                                                          
2015-09-07 15:47:17,500,L133|add new file:/data/www/zhangyecms/public/upload/2015-09-07/upload_182155b491aaf84da186df3fe4c8c7c0.wmv
2015-09-07 15:47:17,501,L133|add new file:/data/www/zhangyecms/public/upload/2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.wmv
2015-09-07 15:47:17,501,L133|add new file:/data/www/zhangyecms/public/upload/2015-09-07/upload_4f926a53bc5a0a1bbd914c8c0a587b3a.wmv
2015-09-07 15:47:17,501,L133|add new file:/data/www/zhangyecms/public/upload/2015-09-07/upload_542c232da9c869971eac77e700768712.wmv
2015-09-07 15:47:17,503,L133|queue size:4                                                                    
2015-09-07 15:47:17,520,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_182155b491aaf84da186df3fe4c8c7c0.wmv
2015-09-07 15:47:17,520,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_182155b491aaf84da186df3fe4c8c7c0.wmv
2015-09-07 15:47:17,520,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.wmv
2015-09-07 15:47:17,521,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.wmv
2015-09-07 15:47:17,622,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_182155b491aaf84da186df3fe4c8c7c0_352_500k.m3u8
2015-09-07 15:47:17,622,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_182155b491aaf84da186df3fe4c8c7c0_352_500k.m3u8
2015-09-07 15:47:17,623,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e_352_500k.m3u8
2015-09-07 15:47:17,623,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e_352_500k.m3u8
2015-09-07 15:47:17,725,L170|no dar info in input file, force set aspect to width:height                     
2015-09-07 15:47:17,726,L170|no dar info in input file, force set aspect to width:height                     
2015-09-07 15:47:17,738,L347|fferr_0 ffmpeg version 2.2 Copyright (c) 2000-2014 the FFmpeg developers        
2015-09-07 15:47:17,739,L347|fferr_0   built on Aug  1 2014 15:47:15 with gcc 4.4.7 (GCC) 20120313 (Red Hat 4.4.7-4)
2015-09-07 15:47:17,739,L347|fferr_0   configuration: --enable-gpl --enable-version3 --enable-nonfree --enable-shared --disable-static --enable-runtime-cpudetect --prefix=/root/transcode_build/build/../3rdparty --extra-cflags='-I/root/transcode_build/build/../3rdparty/include -fPIC -D_LARGEFILE64_SOURCE -D_FILE_OFFSET_BITS=64' --extra-ldflags=-L/root/transcode_build/build/../3rdparty/lib --enable-libx264 --enable-libx265 --enable-libfaac --enable-decoder=png --enable-encoder=png --enable-libfreetype --disable-outdevs --disable-ffplay --disable-ffprobe --disable-ffserver --disable-doc --disable-htmlpages --disable-manpages --disable-podpages --disable-txtpages --disable-stripping
2015-09-07 15:47:17,739,L347|fferr_0   libavutil      52. 66.100 / 52. 66.100                                
2015-09-07 15:47:17,739,L347|fferr_0   libavcodec     55. 52.102 / 55. 52.102                                
2015-09-07 15:47:17,740,L347|fferr_0   libavformat    55. 33.100 / 55. 33.100                                
2015-09-07 15:47:17,740,L347|fferr_0   libavdevice    55. 10.100 / 55. 10.100                                
2015-09-07 15:47:17,740,L347|fferr_0   libavfilter     4.  2.100 /  4.  2.100                                
2015-09-07 15:47:17,740,L347|fferr_0   libswscale      2.  5.102 /  2.  5.102                                
2015-09-07 15:47:17,740,L347|fferr_0   libswresample   0. 18.100 /  0. 18.100                                
2015-09-07 15:47:17,740,L347|fferr_0   libpostproc    52.  3.100 / 52.  3.100                                
2015-09-07 15:47:17,741,L347|fferr_1 ffmpeg version 2.2 Copyright (c) 2000-2014 the FFmpeg developers        
2015-09-07 15:47:17,741,L347|fferr_1   built on Aug  1 2014 15:47:15 with gcc 4.4.7 (GCC) 20120313 (Red Hat 4.4.7-4)
2015-09-07 15:47:17,741,L347|fferr_1   configuration: --enable-gpl --enable-version3 --enable-nonfree --enable-shared --disable-static --enable-runtime-cpudetect --prefix=/root/transcode_build/build/../3rdparty --extra-cflags='-I/root/transcode_build/build/../3rdparty/include -fPIC -D_LARGEFILE64_SOURCE -D_FILE_OFFSET_BITS=64' --extra-ldflags=-L/root/transcode_build/build/../3rdparty/lib --enable-libx264 --enable-libx265 --enable-libfaac --enable-decoder=png --enable-encoder=png --enable-libfreetype --disable-outdevs --disable-ffplay --disable-ffprobe --disable-ffserver --disable-doc --disable-htmlpages --disable-manpages --disable-podpages --disable-txtpages --disable-stripping
2015-09-07 15:47:17,741,L347|fferr_1   libavutil      52. 66.100 / 52. 66.100                                
2015-09-07 15:47:17,742,L347|fferr_1   libavcodec     55. 52.102 / 55. 52.102                                
2015-09-07 15:47:17,742,L347|fferr_1   libavformat    55. 33.100 / 55. 33.100                                
2015-09-07 15:47:17,742,L347|fferr_1   libavdevice    55. 10.100 / 55. 10.100                                
2015-09-07 15:47:17,742,L347|fferr_1   libavfilter     4.  2.100 /  4.  2.100                                
2015-09-07 15:47:17,742,L347|fferr_1   libswscale      2.  5.102 /  2.  5.102                                
2015-09-07 15:47:17,742,L347|fferr_1   libswresample   0. 18.100 /  0. 18.100                                
2015-09-07 15:47:17,743,L347|fferr_1   libpostproc    52.  3.100 / 52.  3.100                                
2015-09-07 15:47:17,748,L347|fferr_0 Guessed Channel Layout for  Input Stream #0.1 : stereo                  
2015-09-07 15:47:17,748,L347|fferr_0 Input #0, asf, from '/data/www/zhangyecms/public/upload/2015-09-07/upload_182155b491aaf84da186df3fe4c8c7c0.wmv':
2015-09-07 15:47:17,748,L347|fferr_0   Metadata:                                                             
2015-09-07 15:47:17,749,L347|fferr_1 Guessed Channel Layout for  Input Stream #0.1 : stereo                  
2015-09-07 15:47:17,749,L347|fferr_1 Input #0, asf, from '/data/www/zhangyecms/public/upload/2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.wmv':
2015-09-07 15:47:17,750,L347|fferr_1   Metadata:                                                             
2015-09-07 15:47:17,750,L347|fferr_1     encoder         : Lavf53.6.0                                        
2015-09-07 15:47:17,750,L347|fferr_1   Duration: 00:10:43.58, start: 0.000000, bitrate: 663 kb/s             
2015-09-07 15:47:17,750,L347|fferr_1     Stream #0:0: Video: wmv2 (WMV2 / 0x32564D57), yuv420p, 640x480, 18 tbr, 1k tbn, 1k tbc
2015-09-07 15:47:17,750,L347|fferr_1     Stream #0:1: Audio: wmav2 (a[1][0][0] / 0x0161), 44100 Hz, stereo, fltp, 128 kb/s
2015-09-07 15:47:17,751,L347|fferr_0     encoder         : Lavf53.6.0                                        
2015-09-07 15:47:17,751,L347|fferr_0   Duration: 00:14:15.56, start: 0.000000, bitrate: 667 kb/s             
2015-09-07 15:47:17,751,L347|fferr_0     Stream #0:0: Video: wmv2 (WMV2 / 0x32564D57), yuv420p, 640x480, 18 tbr, 1k tbn, 1k tbc
2015-09-07 15:47:17,751,L347|fferr_0     Stream #0:1: Audio: wmav2 (a[1][0][0] / 0x0161), 44100 Hz, stereo, fltp, 128 kb/s
2015-09-07 15:47:17,759,L347|fferr_1 [libx264 @ 0x7660c0] using SAR=34/33                                    
2015-09-07 15:47:17,765,L347|fferr_1 [libx264 @ 0x7660c0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 
2015-09-07 15:47:17,766,L347|fferr_0 [libx264 @ 0x15180c0] using SAR=34/33                                   
2015-09-07 15:47:17,766,L347|fferr_0 [libx264 @ 0x15180c0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2
2015-09-07 15:47:17,767,L347|fferr_0 [libx264 @ 0x15180c0] profile Main, level 3.1                           
2015-09-07 15:47:17,767,L347|fferr_1 [libx264 @ 0x7660c0] profile Main, level 3.1                            
2015-09-07 15:47:17,790,L347|fferr_0 [libfaac @ 0x1536a20] frame_size:1024 samples_input:2048 sample_rate:48000 channels:2 bitRate:24000
2015-09-07 15:47:17,791,L347|fferr_0 Output #0, hls, to '/data/www/zhangyecms/public/outfiles//2015-09-07/upload_182155b491aaf84da186df3fe4c8c7c0_352_500k.m3u8':
2015-09-07 15:47:17,791,L347|fferr_0   Metadata:                                                             
2015-09-07 15:47:17,792,L347|fferr_0     service_name    : Service1                                          
2015-09-07 15:47:17,792,L347|fferr_0     service_provider: joygo                                             
2015-09-07 15:47:17,792,L347|fferr_0     encoder         : Lavf55.33.100                                     
2015-09-07 15:47:17,792,L347|fferr_0     Stream #0:0: Video: h264 (libx264), yuv420p, 352x272 [SAR 34:33 DAR 4:3], q=-1--1, max. 454 kb/s, 90k tbn, 18 tbc
2015-09-07 15:47:17,793,L347|fferr_0     Stream #0:1: Audio: aac (libfaac), 48000 Hz, stereo, s16, 48 kb/s   
2015-09-07 15:47:17,793,L347|fferr_0 Stream mapping:                                                         
2015-09-07 15:47:17,793,L347|fferr_0   Stream #0:0 -> #0:0 (wmv2 -> libx264)                                 
2015-09-07 15:47:17,793,L347|fferr_0   Stream #0:1 -> #0:1 (wmav2 -> libfaac)                                
2015-09-07 15:47:17,793,L347|fferr_0 Press [q] to stop, [?] for help                                         
2015-09-07 15:47:17,794,L347|fferr_1 [libfaac @ 0x77c040] frame_size:1024 samples_input:2048 sample_rate:48000 channels:2 bitRate:24000
2015-09-07 15:47:17,795,L347|fferr_1 Output #0, hls, to '/data/www/zhangyecms/public/outfiles//2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e_352_500k.m3u8':
2015-09-07 15:47:17,795,L347|fferr_1   Metadata:                                                             
2015-09-07 15:47:17,796,L347|fferr_1     service_name    : Service1                                          
2015-09-07 15:47:17,796,L347|fferr_1     service_provider: joygo                                             
2015-09-07 15:47:17,796,L347|fferr_1     encoder         : Lavf55.33.100                                     
2015-09-07 15:47:17,796,L347|fferr_1     Stream #0:0: Video: h264 (libx264), yuv420p, 352x272 [SAR 34:33 DAR 4:3], q=-1--1, max. 454 kb/s, 90k tbn, 18 tbc
2015-09-07 15:47:17,796,L347|fferr_1     Stream #0:1: Audio: aac (libfaac), 48000 Hz, stereo, s16, 48 kb/s   
2015-09-07 15:47:17,797,L347|fferr_1 Stream mapping:                                                         
2015-09-07 15:47:17,797,L347|fferr_1   Stream #0:0 -> #0:0 (wmv2 -> libx264)                                 
2015-09-07 15:47:17,797,L347|fferr_1   Stream #0:1 -> #0:1 (wmav2 -> libfaac)                                
2015-09-07 15:47:17,797,L347|fferr_1 Press [q] to stop, [?] for help                                         
2015-09-07 15:47:47,528,L133|queue size:2                                                                    
2015-09-07 15:48:17,559,L133|queue size:2                                                                    
2015-09-07 15:48:47,589,L133|queue size:2                                                                    
2015-09-07 15:49:06,531,L347|fferr_1 frame=11575 fps=106 q=-1.0 Lsize=N/A time=00:10:43.59 bitrate=N/A       
2015-09-07 15:49:06,531,L347|fferr_1 video:16687kB audio:5041kB subtitle:0 data:0 global headers:0kB muxing overhead -100.000099%
2015-09-07 15:49:06,535,L347|fferr_1 [libx264 @ 0x7660c0] frame I:116   Avg QP:18.29  size: 18963            
2015-09-07 15:49:06,535,L347|fferr_1 [libx264 @ 0x7660c0] frame P:4368  Avg QP:22.49  size:  2820            
2015-09-07 15:49:06,535,L347|fferr_1 [libx264 @ 0x7660c0] frame B:7091  Avg QP:28.04  size:   362            
2015-09-07 15:49:06,536,L347|fferr_1 [libx264 @ 0x7660c0] consecutive B-frames: 12.1% 20.8% 16.4% 24.2% 17.5%  4.5%  2.1%  0.4%  0.2%  0.1%  0.1%  0.2%  0.0%  0.1%  0.0%  0.1%  1.2%
2015-09-07 15:49:06,536,L347|fferr_1 [libx264 @ 0x7660c0] mb I  I16..4: 11.2%  0.0% 88.8%                    
2015-09-07 15:49:06,536,L347|fferr_1 [libx264 @ 0x7660c0] mb P  I16..4:  1.4%  0.0%  3.3%  P16..4: 32.3% 18.3% 12.0%  0.0%  0.0%    skip:32.8%
2015-09-07 15:49:06,536,L347|fferr_1 [libx264 @ 0x7660c0] mb B  I16..4:  0.1%  0.0%  0.1%  B16..8: 26.1%  3.7%  0.9%  direct: 1.6%  skip:67.6%  L0:38.2% L1:53.9% BI: 7.9%
2015-09-07 15:49:06,536,L347|fferr_1 [libx264 @ 0x7660c0] coded y,uvDC,uvAC intra: 76.3% 78.9% 53.3% inter: 12.9% 10.0% 1.9%
2015-09-07 15:49:06,537,L347|fferr_1 [libx264 @ 0x7660c0] i16 v,h,dc,p: 37% 29% 15% 19%                      
2015-09-07 15:49:06,537,L347|fferr_1 [libx264 @ 0x7660c0] i4 v,h,dc,ddl,ddr,vr,hd,vl,hu: 27% 21% 15%  5%  7%  6%  7%  6%  6%
2015-09-07 15:49:06,537,L347|fferr_1 [libx264 @ 0x7660c0] i8c dc,h,v,p: 51% 20% 24%  5%                      
2015-09-07 15:49:06,537,L347|fferr_1 [libx264 @ 0x7660c0] Weighted P-Frames: Y:8.2% UV:2.2%                  
2015-09-07 15:49:06,537,L347|fferr_1 [libx264 @ 0x7660c0] ref P L0: 63.3% 14.9% 11.6%  3.9%  3.0%  2.3%  0.9%  0.0%
2015-09-07 15:49:06,538,L347|fferr_1 [libx264 @ 0x7660c0] ref B L0: 83.5%  9.3%  4.6%  2.0%  0.6%            
2015-09-07 15:49:06,538,L347|fferr_1 [libx264 @ 0x7660c0] ref B L1: 93.1%  6.9%                              
2015-09-07 15:49:06,538,L347|fferr_1 [libx264 @ 0x7660c0] kb/s:212.58                                        
2015-09-07 15:49:06,544,L353|task_1 ======== ffmpeg progress exited (ret:0)(/data/www/zhangyecms/public/upload/2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.wmv) ========
2015-09-07 15:49:06,544,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e_352_500k.m3u8
2015-09-07 15:49:06,645,L277|[TRANSCODE_OK] |/data/www/zhangyecms/public/upload/2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.wmv
2015-09-07 15:49:06,657,L347|fferr_1 ffmpeg version 2.2 Copyright (c) 2000-2014 the FFmpeg developers        
2015-09-07 15:49:06,657,L347|fferr_1   built on Aug  1 2014 15:47:15 with gcc 4.4.7 (GCC) 20120313 (Red Hat 4.4.7-4)
2015-09-07 15:49:06,658,L347|fferr_1   configuration: --enable-gpl --enable-version3 --enable-nonfree --enable-shared --disable-static --enable-runtime-cpudetect --prefix=/root/transcode_build/build/../3rdparty --extra-cflags='-I/root/transcode_build/build/../3rdparty/include -fPIC -D_LARGEFILE64_SOURCE -D_FILE_OFFSET_BITS=64' --extra-ldflags=-L/root/transcode_build/build/../3rdparty/lib --enable-libx264 --enable-libx265 --enable-libfaac --enable-decoder=png --enable-encoder=png --enable-libfreetype --disable-outdevs --disable-ffplay --disable-ffprobe --disable-ffserver --disable-doc --disable-htmlpages --disable-manpages --disable-podpages --disable-txtpages --disable-stripping
2015-09-07 15:49:06,658,L347|fferr_1   libavutil      52. 66.100 / 52. 66.100                                
2015-09-07 15:49:06,658,L347|fferr_1   libavcodec     55. 52.102 / 55. 52.102                                
2015-09-07 15:49:06,658,L347|fferr_1   libavformat    55. 33.100 / 55. 33.100                                
2015-09-07 15:49:06,659,L347|fferr_1   libavdevice    55. 10.100 / 55. 10.100                                
2015-09-07 15:49:06,659,L347|fferr_1   libavfilter     4.  2.100 /  4.  2.100                                
2015-09-07 15:49:06,659,L347|fferr_1   libswscale      2.  5.102 /  2.  5.102                                
2015-09-07 15:49:06,659,L347|fferr_1   libswresample   0. 18.100 /  0. 18.100                                
2015-09-07 15:49:06,660,L347|fferr_1   libpostproc    52.  3.100 / 52.  3.100                                
2015-09-07 15:49:06,668,L347|fferr_1 Guessed Channel Layout for  Input Stream #0.1 : stereo                  
2015-09-07 15:49:06,668,L347|fferr_1 Input #0, asf, from '/data/www/zhangyecms/public/upload/2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.wmv':
2015-09-07 15:49:06,669,L347|fferr_1   Metadata:                                                             
2015-09-07 15:49:06,669,L347|fferr_1     encoder         : Lavf53.6.0                                        
2015-09-07 15:49:06,669,L347|fferr_1   Duration: 00:10:43.58, start: 0.000000, bitrate: 663 kb/s             
2015-09-07 15:49:06,669,L347|fferr_1     Stream #0:0: Video: wmv2 (WMV2 / 0x32564D57), yuv420p, 640x480, 18 tbr, 1k tbn, 1k tbc
2015-09-07 15:49:06,670,L347|fferr_1     Stream #0:1: Audio: wmav2 (a[1][0][0] / 0x0161), 44100 Hz, stereo, fltp, 128 kb/s
2015-09-07 15:49:06,675,L347|fferr_1 [swscaler @ 0x159e4e0] deprecated pixel format used, make sure you did set range correctly
2015-09-07 15:49:06,676,L347|fferr_1 Output #0, image2, to '/data/www/zhangyecms/public/outfiles//2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.jpg':
2015-09-07 15:49:06,676,L347|fferr_1   Metadata:                                                             
2015-09-07 15:49:06,676,L347|fferr_1     encoder         : Lavf55.33.100                                     
2015-09-07 15:49:06,676,L347|fferr_1     Stream #0:0: Video: mjpeg, yuvj420p, 640x480, q=2-31, 200 kb/s, 90k tbn, 18 tbc
2015-09-07 15:49:06,676,L347|fferr_1 Stream mapping:                                                         
2015-09-07 15:49:06,676,L347|fferr_1   Stream #0:0 -> #0:0 (wmv2 -> mjpeg)                                   
2015-09-07 15:49:06,676,L347|fferr_1 Press [q] to stop, [?] for help                                         
2015-09-07 15:49:17,619,L133|queue size:2                                                                    
2015-09-07 15:49:20,776,L347|fferr_1 frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    [image2 @ 0x15f36e0] Could not get frame filename number 2 from pattern '/data/www/zhangyecms/public/outfiles//2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.jpg' (either set updatefirst or use a pattern like %03d within the filename pattern)
2015-09-07 15:49:20,776,L347|fferr_1 av_interleaved_write_frame(): Invalid argument                          
2015-09-07 15:49:20,776,L347|fferr_1 frame=    2 fps=0.1 q=3.8 Lsize=N/A time=00:00:00.11 bitrate=N/A        
2015-09-07 15:49:20,777,L347|fferr_1 video:75kB audio:0kB subtitle:0 data:0 global headers:0kB muxing overhead -100.028557%
2015-09-07 15:49:20,787,L353|task_1 ======== ffmpeg progress exited (ret:1)(/data/www/zhangyecms/public/upload/2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.wmv) ========
2015-09-07 15:49:21,062,L377|post file: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e_352_500k.m3u8
2015-09-07 15:49:21,063,L378|post file: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.jpg
2015-09-07 15:49:21,073,L133|{"code":0,"message":"操作成功"}                                             
2015-09-07 15:49:21,073,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_4f926a53bc5a0a1bbd914c8c0a587b3a.wmv
2015-09-07 15:49:21,073,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_4f926a53bc5a0a1bbd914c8c0a587b3a.wmv
2015-09-07 15:49:21,176,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_4f926a53bc5a0a1bbd914c8c0a587b3a_352_500k.m3u8
2015-09-07 15:49:21,176,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_4f926a53bc5a0a1bbd914c8c0a587b3a_352_500k.m3u8
2015-09-07 15:49:21,282,L170|no dar info in input file, force set aspect to width:height                     
2015-09-07 15:49:21,292,L347|fferr_1 ffmpeg version 2.2 Copyright (c) 2000-2014 the FFmpeg developers        
2015-09-07 15:49:21,292,L347|fferr_1   built on Aug  1 2014 15:47:15 with gcc 4.4.7 (GCC) 20120313 (Red Hat 4.4.7-4)
2015-09-07 15:49:21,293,L347|fferr_1   configuration: --enable-gpl --enable-version3 --enable-nonfree --enable-shared --disable-static --enable-runtime-cpudetect --prefix=/root/transcode_build/build/../3rdparty --extra-cflags='-I/root/transcode_build/build/../3rdparty/include -fPIC -D_LARGEFILE64_SOURCE -D_FILE_OFFSET_BITS=64' --extra-ldflags=-L/root/transcode_build/build/../3rdparty/lib --enable-libx264 --enable-libx265 --enable-libfaac --enable-decoder=png --enable-encoder=png --enable-libfreetype --disable-outdevs --disable-ffplay --disable-ffprobe --disable-ffserver --disable-doc --disable-htmlpages --disable-manpages --disable-podpages --disable-txtpages --disable-stripping
2015-09-07 15:49:21,293,L347|fferr_1   libavutil      52. 66.100 / 52. 66.100                                
2015-09-07 15:49:21,293,L347|fferr_1   libavcodec     55. 52.102 / 55. 52.102                                
2015-09-07 15:49:21,294,L347|fferr_1   libavformat    55. 33.100 / 55. 33.100                                
2015-09-07 15:49:21,294,L347|fferr_1   libavdevice    55. 10.100 / 55. 10.100                                
2015-09-07 15:49:21,294,L347|fferr_1   libavfilter     4.  2.100 /  4.  2.100                                
2015-09-07 15:49:21,294,L347|fferr_1   libswscale      2.  5.102 /  2.  5.102                                
2015-09-07 15:49:21,294,L347|fferr_1   libswresample   0. 18.100 /  0. 18.100                                
2015-09-07 15:49:21,295,L347|fferr_1   libpostproc    52.  3.100 / 52.  3.100                                
2015-09-07 15:49:21,304,L347|fferr_1 Guessed Channel Layout for  Input Stream #0.1 : stereo                  
2015-09-07 15:49:21,305,L347|fferr_1 Input #0, asf, from '/data/www/zhangyecms/public/upload/2015-09-07/upload_4f926a53bc5a0a1bbd914c8c0a587b3a.wmv':
2015-09-07 15:49:21,305,L347|fferr_1   Metadata:                                                             
